adjective,noun,article,adj_article,gpt3_judgment
fruit,tree,a,a,Sometimes
note,card,a,a,Sometimes
yellow,screw,a,a,Rarely
hash,brown,,,Almost always
sugar,plum,a,a,Rarely
potato,skin,,,Rarely
chamber,pot,a,a,Rarely
orange,beak,a,an,Rarely
fairy,lady,a,a,Rarely.
rice,milk,,,Rarely
grape,juice,,,Sometimes
round,edge,an,a,Sometimes
water,fountain,a,a,Almost always
office,chair,a,an,Often
foot,pool,a,a,Never
yellow,tube,a,a,Rarely
yellow,knight,a,a,Rarely
day,pastor,a,a,Sometimes
whale,squirt,a,a,Never
pink,paint,,,Rarely
cookie,sandwich,a,a,Rarely
giant,truck,a,a,Rarely
flower,bed,a,a,Rarely
yellow,wheel,a,a,Rarely
dark,side,a,a,Rarely.
gold,balloon,a,a,Rarely
lemon,soda,,,Sometimes
purple,stage,a,a,Rarely
cream,cake,a,a,Often
puppy,food,,,Never
baby,heart,a,a,Never
smiley,ball,a,a,Often
gold,guy,a,a,Rarely.
varnish,stripper,a,a,Never
purple,square,a,a,Almost always.
red,phone,a,a,Rarely
brown,pumpkin,a,a,Almost always
flower,petal,a,a,Almost always.
instrument,panel,a,an,Almost always
giant,saucer,a,a,Rarely
face,painting,a,a,Rarely
curve,piece,a,a,Sometimes
raisin,bun,a,a,Sometimes
milk,bar,a,a,Rarely
pink,diamond,a,a,Rarely
back,window,a,a,Rarely
apple,green,,,Often
outside,edge,an,an,Almost always
string,puppet,a,a,Sometimes
green,tower,a,a,Rarely
rolling,ball,a,a,Almost always
rain,storm,a,a,Often
green,popsicle,a,a,Sometimes
hot,pants,,,Never
light,lunch,a,a,Sometimes
light,ball,a,a,Sometimes
hammer,fork,a,a,Never
farm,game,a,a,Sometimes
caterpillar,walking,,,Never
wet,day,a,a,Often
red,roof,a,a,Rarely
pink,collar,a,a,Rarely
top,coat,a,a,Often
bear,walking,,,Almost always
flower,box,a,a,Rarely
kid,cartoon,a,a,Almost always
yellow,paper,a,a,Rarely
skating,girl,a,a,Sometimes
dead,brother,a,a,Never.
lady,song,a,a,Sometimes
pink,ear,an,a,Never
cookie,dough,,,Almost always
light,green,,,Sometimes
edge,piece,a,an,Almost always
computer,scientist,a,a,Sometimes
orange,star,a,an,Sometimes
farmer,lady,a,a,Sometimes
troll,bridge,a,a,Rarely
